metrics,k-prototypes,lca,spectralCAT,spectral lambda=0 kernel=median_pairwise,spectral lambda=1 kernel=median_pairwise,spectral lambda=100 kernel=median_pairwise,spectral lambda=1000 kernel=median_pairwise,spectral lambda=0 kernel=cv_sigma,spectral lambda=1 kernel=cv_sigma,spectral lambda=100 kernel=cv_sigma,spectral lambda=1000 kernel=cv_sigma,spectral lambda=0 kernel=preset,spectral lambda=1 kernel=preset,spectral lambda=100 kernel=preset,spectral lambda=1000 kernel=preset
purity,0.8933333333333333,0.94,0.54,0.36,0.36,0.36,0.36,0.68,0.68,0.68,0.68,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.8266666666666667
calinski_harabasz,560.3999242466402,616.7980709167815,3.6161496401039646,5.123281360065131,5.123281360065131,5.123281360065131,5.123281360065131,277.4926776474617,277.4926776474617,277.4926776474617,277.4926776474617,441.24150647852707,441.24150647852707,441.24150647852707,441.24150647852707
silhouette,0.5525919445499757,0.5916113121134602,-0.04931640878573201,-0.16743624883534386,-0.16743624883534386,-0.16743624883534386,-0.16743624883534386,0.5118387098922373,0.5118387098922373,0.5118387098922373,0.5118387098922373,0.4945911146514879,0.4945911146514879,0.4945911146514879,0.4945911146514879
adjusted_rand,0.7302382722834697,0.8342589385759397,0.1648008662834212,0.0008330551885270095,0.0008330551885270095,0.0008330551885270095,0.0008330551885270095,0.5637510205230709,0.5637510205230709,0.5637510205230709,0.5637510205230709,0.5995816019019579,0.5995816019019579,0.5995816019019579,0.5995816019019579
homogeneity,0.7649861514489815,0.8256424241959153,0.20786588778196377,0.21469009824919721,0.21469009824919721,0.21469009824919721,0.21469009824919721,0.9202400768446993,0.9202400768446993,0.9202400768446993,0.9202400768446993,0.6298940593925094,0.6298940593925094,0.6298940593925094,0.6298940593925094
