metrics,k-prototypes,lca,spectralCAT,spectral lambda=0 kernel=median_pairwise,spectral lambda=1 kernel=median_pairwise,spectral lambda=100 kernel=median_pairwise,spectral lambda=1000 kernel=median_pairwise,spectral lambda=0 kernel=cv_sigma,spectral lambda=1 kernel=cv_sigma,spectral lambda=100 kernel=cv_sigma,spectral lambda=1000 kernel=cv_sigma,spectral lambda=0 kernel=preset,spectral lambda=1 kernel=preset,spectral lambda=100 kernel=preset,spectral lambda=1000 kernel=preset
purity,0.638095238095238,0.6047619047619047,0.6428571428571429,0.14761904761904762,0.14761904761904762,0.14761904761904762,0.14761904761904762,0.14761904761904762,0.14761904761904762,0.14761904761904762,0.14761904761904762,0.3380952380952381,0.3380952380952381,0.3380952380952381,0.3380952380952381
calinski_harabasz,178.5495283512422,25.14443665155803,18.654656978846184,4.415757913760113,4.415757913760113,4.415757913760113,4.415757913760113,122.60183869046037,122.60183869046037,122.60183869046037,122.60183869046037,51.555866638041145,51.555866638041145,51.555866638041145,51.555866638041145
silhouette,0.33996729773326667,0.1357510470104387,0.06977650875034899,0.5313521125427617,0.5313521125427617,0.5313521125427617,0.5313521125427617,0.880683595812022,0.880683595812022,0.880683595812022,0.880683595812022,-0.03887866387740443,-0.03887866387740443,-0.03887866387740443,-0.03887866387740443
adjusted_rand,0.43729356769279226,0.45748789200045764,0.457929612016391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13116552347039667,0.13116552347039667,0.13116552347039667,0.13116552347039667
homogeneity,0.6365536377583733,0.6260224951693997,0.5979792255399731,0.30897810269167325,0.30897810269167325,0.30897810269167325,0.30897810269167325,0.30897810269167325,0.30897810269167325,0.30897810269167325,0.30897810269167325,0.5312196796849379,0.5312196796849379,0.5312196796849379,0.5312196796849379
