metrics,k-prototypes,lca,spectralCAT,spectral lambda=0 kernel=median_pairwise,spectral lambda=1 kernel=median_pairwise,spectral lambda=100 kernel=median_pairwise,spectral lambda=1000 kernel=median_pairwise,spectral lambda=0 kernel=cv_sigma,spectral lambda=1 kernel=cv_sigma,spectral lambda=100 kernel=cv_sigma,spectral lambda=1000 kernel=cv_sigma,spectral lambda=0 kernel=preset,spectral lambda=1 kernel=preset,spectral lambda=100 kernel=preset,spectral lambda=1000 kernel=preset
purity,0.5887850467289719,0.514018691588785,0.46261682242990654,0.3598130841121495,0.3598130841121495,0.3598130841121495,0.3598130841121495,0.4766355140186916,0.4766355140186916,0.4766355140186916,0.4766355140186916,0.48130841121495327,0.48130841121495327,0.48130841121495327,0.48130841121495327
calinski_harabasz,124.51329412955137,66.35921506016336,2.576824651183267,8.957628469764149,8.957628469764149,8.957628469764149,8.957628469764149,53.44694721232857,53.44694721232857,53.44694721232857,53.44694721232857,54.530942120189486,54.530942120189486,54.530942120189486,54.530942120189486
silhouette,0.4519785341078629,0.43008878197078226,-0.17334310391840016,0.5213722367784105,0.5213722367784105,0.5213722367784105,0.5213722367784105,0.49190056524309994,0.49190056524309994,0.49190056524309994,0.49190056524309994,0.4949876235200718,0.4949876235200718,0.4949876235200718,0.4949876235200718
adjusted_rand,0.2701945438613878,0.17510387311434494,0.048764535518413664,0.003289738093808574,0.003289738093808574,0.003289738093808574,0.003289738093808574,0.14670337437115294,0.14670337437115294,0.14670337437115294,0.14670337437115294,0.15396729536871875,0.15396729536871875,0.15396729536871875,0.15396729536871875
homogeneity,0.46805047917285814,0.3238551482641156,0.09173494249931631,0.33475629822246245,0.33475629822246245,0.33475629822246245,0.33475629822246245,0.4925751979982238,0.4925751979982238,0.4925751979982238,0.4925751979982238,0.5013767694219393,0.5013767694219393,0.5013767694219393,0.5013767694219393
