metrics,k-prototypes,lca,spectralCAT,famd,spectral lambda=0 kernel=median_pairwise,spectral lambda=1 kernel=median_pairwise,spectral lambda=100 kernel=median_pairwise,spectral lambda=1000 kernel=median_pairwise,spectral lambda=0 kernel=cv_sigma,spectral lambda=1 kernel=cv_sigma,spectral lambda=100 kernel=cv_sigma,spectral lambda=1000 kernel=cv_sigma,spectral lambda=0 kernel=preset,spectral lambda=1 kernel=preset,spectral lambda=100 kernel=preset,spectral lambda=1000 kernel=preset
purity,0.5387205387205387,0.5824915824915825,0.5925925925925926,0.5757575757575758,0.5387205387205387,0.5723905723905723,0.569023569023569,0.569023569023569,0.5622895622895623,0.5791245791245792,0.569023569023569,0.569023569023569,0.5757575757575758,0.6060606060606061,0.5723905723905723,0.5723905723905723
calinski_harabasz,6.6878883390256005,26.180988729925197,43.06033023505547,48.392203772401345,0.8144762821486307,43.85076137955824,43.562988266053665,43.562988266053665,5.0427593753843585,44.78281320559574,43.562988266053665,43.562988266053665,18.227791841269855,29.32266109893968,43.85076137955824,43.64124915052212
silhouette,-0.0335623174905777,0.13587769865989685,0.08274846524000168,0.12718930840492249,0.08882971853017807,0.13067863881587982,0.12884001433849335,0.12884001433849335,-0.020304502919316292,0.12745939195156097,0.12884001433849335,0.12884001433849335,0.08569414168596268,0.04666369780898094,0.13067863881587982,0.12922851741313934
adjusted_rand,0.046229626913023535,0.2897401590509488,0.0870768890389203,0.1302669661786774,-0.003878449372980073,0.10330085389031463,0.10025398849081732,0.10025398849081732,0.10745808679072016,0.11657122890343141,0.10025398849081732,0.10025398849081732,0.2647493846311695,0.13699919525145215,0.10330085389031463,0.10001838184002394
homogeneity,0.03752649556397106,0.17016635839637098,0.12527378570342068,0.1881084519570732,0.09264795715840635,0.166209229567075,0.16410325745010163,0.16410325745010163,0.18571160312241194,0.17562981088353882,0.16410325745010163,0.16410325745010163,0.17115041289058905,0.2044822604467527,0.16620922956707507,0.1655337710020162
