metrics,k-prototypes,lca,spectralCAT,spectral lambda=0 kernel=median_pairwise,spectral lambda=1 kernel=median_pairwise,spectral lambda=100 kernel=median_pairwise,spectral lambda=1000 kernel=median_pairwise,spectral lambda=0 kernel=cv_sigma,spectral lambda=1 kernel=cv_sigma,spectral lambda=100 kernel=cv_sigma,spectral lambda=1000 kernel=cv_sigma,spectral lambda=0 kernel=preset,spectral lambda=1 kernel=preset,spectral lambda=100 kernel=preset,spectral lambda=1000 kernel=preset
purity,0.8217821782178217,0.8910891089108911,0.8613861386138614,0.7425742574257426,0.7227722772277227,0.8217821782178217,0.8217821782178217,0.7326732673267327,0.8118811881188119,0.8217821782178217,0.8217821782178217,0.7326732673267327,0.7722772277227723,0.7920792079207921,0.8217821782178217
calinski_harabasz,50.14753320977618,81.66251771319487,84.88495372216597,15.839500929089604,18.418050981216318,47.852429453827234,47.852429453827234,15.845886075213656,37.94626312822652,47.852429453827234,47.852429453827234,17.99242757429051,38.06686848154853,36.93427317688499,47.852429453827234
silhouette,0.3251822888851166,0.5017666816711426,0.44268107414245605,-0.03821742534637451,0.2665318548679352,0.3729342520236969,0.3729342520236969,-0.09619463235139847,0.31915441155433655,0.3729342520236969,0.3729342520236969,0.1713957041501999,0.42158305644989014,0.3681892156600952,0.3729342520236969
adjusted_rand,0.4805659850958314,0.7941530306380539,0.666641234647212,0.38960369523190574,0.49402504723313406,0.6667172345215303,0.6667172345215303,0.4488262151826691,0.5931387634124924,0.6667172345215303,0.6667172345215303,0.45198471448171085,0.6843326307117041,0.6203797741395167,0.6667172345215303
homogeneity,0.651906162931467,0.8207243991495963,0.7704098462376631,0.5797677937344256,0.6545145252985122,0.7532349609177306,0.7532349609177306,0.5893179462671286,0.7398030933616604,0.7532349609177306,0.7532349609177306,0.5726656992125948,0.719818831798113,0.704513025040245,0.7532349609177306
