metrics,k-prototypes,lca,spectralCAT,spectral lambda=0 kernel=median_pairwise,spectral lambda=1 kernel=median_pairwise,spectral lambda=100 kernel=median_pairwise,spectral lambda=1000 kernel=median_pairwise,spectral lambda=0 kernel=cv_sigma,spectral lambda=1 kernel=cv_sigma,spectral lambda=100 kernel=cv_sigma,spectral lambda=1000 kernel=cv_sigma,spectral lambda=0 kernel=preset,spectral lambda=1 kernel=preset,spectral lambda=100 kernel=preset,spectral lambda=1000 kernel=preset
purity,0.702247191011236,0.9550561797752809,0.8539325842696629,0.398876404494382,0.398876404494382,0.398876404494382,0.398876404494382,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.6292134831460674,0.6292134831460674,0.6292134831460674,0.6292134831460674
calinski_harabasz,561.815657860671,154.18159386802319,71.24843303971963,0.8799573357476919,0.8799573357476919,0.8799573357476919,0.8799573357476919,212.00487261158185,212.00487261158185,212.00487261158185,212.00487261158185,6.1106989526701225,6.1106989526701225,6.1106989526701225,6.1106989526701225
silhouette,0.571138193786884,0.17494482315403814,0.08920001590215175,-0.46583247623695584,-0.46583247623695584,-0.46583247623695584,-0.46583247623695584,0.2051327850419749,0.2051327850419749,0.2051327850419749,0.2051327850419749,-0.2062901970613491,-0.2062901970613491,-0.2062901970613491,-0.2062901970613491
adjusted_rand,0.37111371823084754,0.8635987920128989,0.6093996215495711,-0.00381934509398756,-0.00381934509398756,-0.00381934509398756,-0.00381934509398756,0.92953497830069,0.92953497830069,0.92953497830069,0.92953497830069,0.4376871556617261,0.4376871556617261,0.4376871556617261,0.4376871556617261
homogeneity,0.42870141389448585,0.8443872984924481,0.63101370444237,0.15020425759130115,0.15020425759130115,0.15020425759130115,0.15020425759130115,0.8998862898660399,0.8998862898660399,0.8998862898660399,0.8998862898660399,0.7183476595737301,0.7183476595737301,0.7183476595737301,0.7183476595737301
