metrics,k-prototypes,lca,spectralCAT,famd,spectral lambda=0 kernel=median_pairwise,spectral lambda=1 kernel=median_pairwise,spectral lambda=100 kernel=median_pairwise,spectral lambda=1000 kernel=median_pairwise,spectral lambda=0 kernel=cv_sigma,spectral lambda=1 kernel=cv_sigma,spectral lambda=100 kernel=cv_sigma,spectral lambda=1000 kernel=cv_sigma,spectral lambda=0 kernel=preset,spectral lambda=1 kernel=preset,spectral lambda=100 kernel=preset,spectral lambda=1000 kernel=preset
purity,0.38585858585858585,0.36464646464646466,0.16464646464646465,0.3212121212121212,0.09898989898989899,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.3333333333333333,0.31717171717171716,0.3505050505050505,0.3656565656565657,0.2797979797979798,0.2909090909090909,0.3202020202020202,0.2878787878787879
calinski_harabasz,157.6614329482789,303.19617326770714,49.554531070260325,226.08786372723222,0.9296825361300151,134.12526603780725,134.12526603780725,134.12526603780725,132.8143778001138,151.73268497203836,134.64022752859373,140.68805425379108,80.58494054361354,139.71843068616235,135.93814082341942,144.137622115133
silhouette,0.12381136417388916,0.28168192505836487,-0.10092931985855103,0.16716425120830536,-0.32811489701271057,-0.2079627364873886,-0.2079627364873886,-0.2079627364873886,0.08031588792800903,0.09950976073741913,0.11366137117147446,0.10668045282363892,0.03798757493495941,0.08119310438632965,-0.01261978130787611,-0.00949395913630724
adjusted_rand,0.2125838753165473,0.19902027827416036,0.012062520036748549,0.15608918293095217,3.500605001080776e-05,-0.001578863774812349,-0.001578863774812349,-0.001578863774812349,0.15627950353287015,0.14970557023587244,0.18138070558983094,0.19334574299458074,0.07523390366885555,0.1227158624057704,0.12257176417425202,0.09770588045592477
homogeneity,0.434020380326286,0.4280307292877337,0.04733850989107815,0.3681922313073263,0.29186241106216027,0.054624040970432726,0.054624040970432726,0.054624040970432726,0.4225088286493679,0.417600399480182,0.39604135824532327,0.4091693236298559,0.3779748003253262,0.38353398144140105,0.3436230847341418,0.3179817190245224
